epsilon,confidence_level,shots,grover_calls,VaR_theoretical,VaR_predicted,mu,sigma,alpha_iqae
0.1,0.5,2048,0,0.1452755905511811,0.15472440944881893,0.15,0.2,0.015555555555555559
0.05994842503189409,0.5,2048,0,0.1452755905511811,0.1358267716535433,0.15,0.2,0.015555555555555559
0.03593813663804628,0.5,4096,8192,0.1452755905511811,0.1452755905511811,0.15,0.2,0.015555555555555559
0.021544346900318846,0.5,4096,16384,0.1452755905511811,0.1358267716535433,0.15,0.2,0.015555555555555559
0.01291549665014884,0.5,4096,12288,0.1452755905511811,0.1358267716535433,0.15,0.2,0.015555555555555559
0.007742636826811269,0.5,4096,10240,0.1452755905511811,0.1452755905511811,0.15,0.2,0.015555555555555559
0.004641588833612782,0.5,4096,16384,0.1452755905511811,0.1358267716535433,0.15,0.2,0.015555555555555559
0.0027825594022071257,0.5,6144,108544,0.1452755905511811,0.1358267716535433,0.15,0.2,0.015555555555555559
0.0016681005372000592,0.5,6144,196608,0.1452755905511811,0.1452755905511811,0.15,0.2,0.015555555555555559
0.001,0.5,6144,182272,0.1452755905511811,0.1358267716535433,0.15,0.2,0.015555555555555559
0.1,0.5,2048,0,0.1452755905511811,0.1358267716535433,0.15,0.2,0.005
0.05994842503189409,0.5,2048,0,0.1452755905511811,0.1452755905511811,0.15,0.2,0.005
0.03593813663804628,0.5,4096,16384,0.1452755905511811,0.1452755905511811,0.15,0.2,0.005
0.021544346900318846,0.5,4096,10240,0.1452755905511811,0.1358267716535433,0.15,0.2,0.005
0.01291549665014884,0.5,4096,12288,0.1452755905511811,0.1452755905511811,0.15,0.2,0.005
0.007742636826811269,0.5,4096,10240,0.1452755905511811,0.1358267716535433,0.15,0.2,0.005
0.004641588833612782,0.5,4096,14336,0.1452755905511811,0.1358267716535433,0.15,0.2,0.005
0.0027825594022071257,0.5,6144,194560,0.1452755905511811,0.1358267716535433,0.15,0.2,0.005
0.0016681005372000592,0.5,6144,172032,0.1452755905511811,0.1358267716535433,0.15,0.2,0.005
0.001,0.5,6144,188416,0.1452755905511811,0.1452755905511811,0.15,0.2,0.005
